Year,Men's Single Gold,Men's Single Sliver,Men's Single Bronze,Men's Double Gold,Men's Double Sliver,Men's Double Bronze,Men's Quad Gold,Men's Quad Sliver,Men's Quad Bronze,Men's Four Gold,Men's Four Sliver,Men's Four Bronze,Men's Eight Gold,Men's Eight Sliver,Men's Eight Bronze
1920,455,456,468,429,439,441,,,,,,,363.6,365,396
1924,469.2,474,481.1,394,398,,,,,429.6,438,,393.4,409,
1928,431,441.8,450.8,401.4,411,409.8,,,,396,397,392.6,363.2,366.6,364.8
1932,464.4,465.2,494.6,437.4,443.8,448.6,,,,418.2,423,424,398.6,398.8,400.4
1936,502.5,506.8,508,441.8,446.2,456.2,,,,422.8,427.5,431.6,385.4,386,386.4
1948,444.4,458.2,471.4,411.3,415.3,432.4,,,,399,404.5,408.7,357.7,367.9,370.3
1952,493.8,495.5,499.4,452.2,458.3,464.7,,,,436,439.9,443.3,386.9,391.2,393.1
1956,483.5,488.7,492.8,444,452.2,457.4,,,,429.8,438.4,441.9,395.2,397.1,399.2
1960,434.96,440.21,441.26,408.5,410.49,411.59,,,,386.26,389.78,390.62,357.18,362.52,365.84
1964,503.51,506.24,510.68,431.66,433.16,434.23,,,,419.3,420.47,421.37,378.23,383.29,385.11
1968,468.8,472,477.19,412.82,413.8,414.21,,,,399.18,402.64,404.01,367,368.98,369.11
1972,430.12,432.53,434.45,422.77,423.58,426.55,,,,384.27,386.64,388.41,369.94,372.61,372.67
1976,449.03,452.67,458.03,433.2,435.26,437.45,379.65,380.89,382.77,397.42,401.22,403.52,358.29,361.82,364.51
1980,430.61,432.66,435.88,384.33,386.34,389.07,350.81,351.47,352.38,368.17,372.81,377.58,349.05,352.92,353.66
1984,420.24,422.19,430.38,397.87,398.19,400.59,358.55,358.98,359.07,363.48,366.1,368.72,341.32,342.74,343.4
1988,410.86,415.77,419.66,381.13,383.59,383.87,353.37,355.08,356.13,363.11,365.33,366.22,346.05,348.01,348.26
1992,411.4,413.93,417.82,377.32,378.42,383.82,345.17,347.09,347.33,355.04,357.68,358.24,330.53,330.67,331
1996,405.85,407.45,408.72,377.98,378.42,380.85,357.93,359.1,362.65,366.37,367.03,367.28,343.74,345.58,346.77
2000,409.9,411.55,411.83,377.63,378.98,380.49,346.56,348.91,349.64,356.24,357.62,358.61,333.08,334.88,335.85
2004,409.3,411.42,413.8,389,392.72,393.93,357.85,357.43,359.87,367.98,367.06,370.41,342.48,344.75,345.38
2008,420.83,421.63,422.56,388.77,389.05,389.1,341.33,344.57,344.34,367.57,368.85,369.31,324.89,325.11,325.34
2012,418.82,419.37,423.28,392.67,393.8,394.35,342.48,345.78,345.22,364.97,365.19,367.2,349.75,350.98,351.18
2016,401.34,401.34,404.1,410.28,411.39,413.25,367.81,368.96,371.65,359.61,360.44,364.85,330.63,331.96,332.59
2020,400.45,402.66,403.58,360.33,361.53,364.63,332.03,334.75,334.97,343.76,343.13,344.6,325.64,326.6,326.73
