Year,Men's Single Gold,Men's Single Sliver,Men's Single Bronze,Men's Double Gold,Men's Double Sliver,Men's Double Bronze,Men's Quad Gold,Men's Quad Sliver,Men's Quad Bronze,Men's Four Gold,Men's Four Sliver,Men's Four Bronze,Men's Eight Gold,Men's Eight Sliver,Men's Eight Bronze
1920,"7:35,0","7:36,0","7:48,0","7:09,0","7:19,0","7:21,0",,,,,,,"6:02,6","6:05,0","6:36,0"
1924,"7:49,2","7:54,0","8:01,1","6:34,0","6:38,0",,,,,"7:08,6","7:18,0",,"6:33,4","6:49,0",
1928,"7:11,0","7:20,8","7:29,8","6:41,4","6:51,0","6:48,8",,,,"6:36,0","6:37,0","6:31,6","6:03,2","6:05,6","6:03,8"
1932,"7:44,4","7:45,2","8:13,6","7:17,4","7:22,8","7:27,6",,,,"6:58,2","7:03,0","7:04,0","6:37,6","6:37,8","6:40,4"
1936,"8:21,5","8:25,8","8:28,0","7:20,8","7:26,2","7:36,2",,,,"7:01,8","7:06,5","7:10,6","6:25,4","6:26,0","6:26,4"
1948,"7:24,4","7:38,2","7:51,4","6:51,3","6:55,3","7:12,4",,,,"6:39,0","6:43,5","6:47,7","5:56,7","6:06,9","6:10,3"
1952,"8:12,8","8:14,5","8:19,4","7:32,2","7:38,3","7:43,7",,,,"7:16,0","7:18,9","7:23,3","6:25,9","6:31,2","6:33,1"
1956,"8:02,5","8:07,7","8:11,8","7:24,0","7:32,2","7:37,4",,,,"7:08,8","7:18,4","7:20,9","6:35,2","6:37,1","6:39,2"
1960,"7:13,96","7:20,21","7:21,26","6:47,50","6:50,49","6:50,59",,,,"6:26,26","6:28,78","6:29,62","5:57,18","6:01,52","6:04,84"
1964,"8:22,51","8:26,24","8:29,68","7:10,66","7:13,16","7:14,23",,,,"6:59,30","7:00,47","7:01,37","6:18,23","6:23,29","6:25,11"
1968,"7:47,80","7:52,00","7:57,19","6:51,82","6:52,80","6:54,21",,,,"6:39,18","6:41,64","6:44,01","6:07,00","6:07,98","6:09,11"
1972,"7:10,12","7:11,53","7:14,45","7:01,77","7:02,58","7:05,55",,,,"6:24,27","6:25,64","6:28,41","6:08,94","6:11,61","6:11,67"
1976,"7:29,03","7:31,67","7:38,03","7:13,20","7:15,26","7:17,45","6:18,65","6:19,89","6:21,77","6:37,42","6:41,22","6:42,52","5:58,29","6:00,82","6:03,51"
1980,"7:09,61","7:11,66","7:14,88","6:24,33","6:26,34","6:29,07","5:49,81","5:51,47","5:52,38","6:08,17","6:11,81","6:16,58","5:49,05","5:51,92","5:52,66"
1984,"7:00,24","7:02,19","7:10,38","6:36,87","6:38,19","6:39,59","5:57,55","5:57,98","5:59,07","6:03,48","6:06,10","6:07,72","5:41,32","5:41,74","5:43,40"
1988,"6:49,86","6:54,77","6:58,66","6:21,13","6:22,59","6:22,87","5:53,37","5:55,08","5:56,13","6:03,11","6:05,33","6:06,22","5:46,05","5:48,01","5:48,26"
1992,"6:51,40","6:52,93","6:56,82","6:17,32","6:18,42","6:22,82","5:45,17","5:47,09","5:47,33","5:55,04","5:56,68","5:58,24","5:29,53","5:29,67","5:31,00"
1996,"6:44,85","6:47,45","6:47,72","6:16,98","6:18,42","6:19,85","5:56,93","5:59,10","6:01,65","6:06,37","6:07,03","6:07,28","5:42,74","5:44,58","5:45,77"
2000,"6:48,90","6:50,55","6:50,83","6:16,63","6:17,98","6:20,49","5:45,56","5:47,91","5:48,64","5:56,24","5:56,62","5:57,61","5:33,08","5:33,88","5:34,85"
2004,"6:49,30","6:51,42","6:52,80","6:29,00","6:31,72","6:32,93","5:56,85","5:57,43","5:58,87","6:06,98","6:07,06","6:10,41","5:42,48","5:43,75","5:45,38"
2008,"6:59,83","7:00,63","7:01,56","6:27,77","6:29,05","6:29,10","5:41,33","5:43,57","5:44,34","6:06,57","6:07,85","6:09,31","5:23,89","5:25,11","5:25,34"
2012,6:57.82,6:59.37,7:03.28,6:31.67,6:32.80,6:34.35,5:42.48,5:44.78,5:45.22,6:03.97,6:05.19,6:07.20,5:48.75,5:49.98,5:51.18
2016,6:41.34,6:41.34,6:44.10,06:50.28,06:51.39,06:53.25,06:06.81,06:07.96,06:10.65,05:58.61,06:00.44,06:03.85,5:29.63,5:30.96,5:31.59
2020,"6:40,45","6:41,66","6:42,58",6:00.33,6:00.53,6:03.63,5:32.03,5:33.75,5:33.97,"5:42,76","5:43,13","5:43,60","5:24,64","5:25,60","5:25,73"
